iter	Passed	Remaining
671	2718	1327
672	2724	1323
673	2728	1319
674	2732	1315
675	2737	1311
676	2741	1308
677	2746	1304
678	2750	1300
679	2755	1296
680	2759	1292
681	2763	1288
682	2768	1285
683	2773	1281
684	2777	1277
685	2781	1273
686	2785	1268
687	2789	1264
688	2793	1260
689	2797	1256
690	2801	1252
691	2805	1248
692	2809	1244
693	2813	1240
694	2816	1236
695	2820	1231
696	2823	1227
697	2826	1223
698	2830	1218
699	2833	1214
700	2837	1210
701	2840	1205
702	2844	1201
703	2847	1197
704	2850	1192
705	2854	1188
706	2857	1184
707	2861	1180
708	2864	1175
709	2867	1171
710	2871	1166
711	2874	1162
712	2877	1158
713	2881	1154
714	2885	1150
715	2888	1145
716	2892	1141
717	2895	1137
718	2898	1132
719	2902	1128
720	2905	1124
721	2909	1120
722	2912	1115
723	2915	1111
724	2919	1107
725	2923	1103
726	2926	1098
727	2929	1094
728	2933	1090
729	2936	1086
730	2940	1082
731	2944	1078
732	2949	1074
733	2953	1070
734	2957	1066
735	2961	1062
736	2964	1058
737	2968	1053
738	2971	1049
739	2975	1045
740	2978	1041
741	2982	1037
742	2985	1032
743	2989	1028
744	2992	1024
745	2996	1020
746	2999	1016
747	3003	1011
748	3007	1007
749	3011	1003
750	3015	999
751	3019	995
752	3023	991
753	3027	987
754	3032	983
755	3035	979
756	3039	975
757	3042	971
758	3046	967
759	3050	963
760	3055	959
761	3059	955
762	3063	951
763	3067	947
764	3070	943
765	3074	939
766	3078	935
767	3081	930
768	3085	926
769	3089	922
770	3092	918
771	3096	914
772	3100	910
773	3104	906
774	3107	902
775	3111	898
776	3114	893
777	3117	889
778	3121	885
779	3126	881
780	3130	877
781	3134	873
782	3138	869
783	3143	865
784	3147	862
785	3152	858
786	3157	854
787	3162	850
788	3168	847
789	3173	843
790	3178	839
791	3182	835
792	3186	831
793	3192	828
794	3197	824
795	3203	820
796	3215	819
797	3227	817
798	3238	814
799	3248	812
800	3260	809
801	3271	807
802	3281	804
803	3290	802
804	3295	798
805	3300	794
806	3305	790
807	3312	787
808	3323	784
809	3329	780
810	3334	777
811	3339	773
812	3343	769
813	3347	764
814	3350	760
815	3355	756
816	3359	752
817	3362	748
818	3366	743
819	3369	739
820	3373	735
821	3376	731
822	3379	726
823	3382	722
824	3385	718
825	3389	713
826	3392	709
827	3395	705
828	3397	700
829	3400	696
830	3403	692
831	3406	687
832	3409	683
833	3412	679
834	3415	674
835	3419	670
836	3422	666
837	3425	662
838	3428	657
839	3431	653
840	3434	649
841	3437	645
842	3440	640
843	3443	636
844	3445	632
845	3449	627
846	3453	623
847	3456	619
848	3458	615
849	3461	610
850	3464	606
851	3467	602
852	3471	598
853	3473	593
854	3476	589
855	3479	585
856	3482	581
857	3486	577
858	3489	572
859	3492	568
860	3495	564
861	3498	560
862	3502	555
863	3504	551
864	3507	547
865	3510	543
866	3513	539
867	3517	534
868	3520	530
869	3523	526
870	3526	522
871	3528	518
872	3532	513
873	3535	509
874	3539	505
875	3542	501
876	3545	497
877	3548	493
878	3552	489
879	3555	484
880	3559	480
881	3562	476
882	3566	472
883	3569	468
884	3572	464
885	3575	460
886	3578	455
887	3582	451
888	3584	447
889	3587	443
890	3590	439
891	3593	435
892	3596	430
893	3599	426
894	3602	422
895	3605	418
896	3608	414
897	3610	410
898	3614	406
899	3617	401
900	3620	397
901	3622	393
902	3625	389
903	3628	385
904	3631	381
905	3634	377
906	3638	373
907	3641	368
908	3643	364
909	3647	360
910	3650	356
911	3653	352
912	3656	348
913	3660	344
914	3663	340
915	3666	336
916	3669	332
917	3672	328
918	3675	323
919	3678	319
920	3681	315
921	3684	311
922	3687	307
923	3690	303
924	3693	299
925	3696	295
926	3701	291
927	3704	287
928	3706	283
929	3710	279
930	3713	275
931	3715	271
932	3718	267
933	3721	262
934	3724	258
935	3728	254
936	3730	250
937	3733	246
938	3736	242
939	3739	238
940	3743	234
941	3747	230
942	3750	226
943	3753	222
944	3756	218
945	3760	214
946	3762	210
947	3765	206
948	3768	202
949	3771	198
950	3775	194
951	3778	190
952	3781	186
953	3784	182
954	3787	178
955	3790	174
956	3793	170
957	3796	166
958	3799	162
959	3802	158
960	3805	154
961	3808	150
962	3811	146
963	3814	142
964	3817	138
965	3820	134
966	3823	130
967	3826	126
968	3829	122
969	3832	118
970	3835	114
971	3838	110
972	3842	106
973	3845	102
974	3847	98
975	3850	94
976	3854	90
977	3857	86
978	3860	82
979	3863	78
980	3866	74
981	3868	70
982	3872	66
983	3875	63
984	3878	59
985	3881	55
986	3884	51
987	3887	47
988	3890	43
989	3893	39
990	3896	35
991	3898	31
992	3901	27
993	3905	23
994	3908	19
995	3910	15
996	3913	11
997	3916	7
998	3920	3
999	3923	0
